,Country Name,Indicator Name,Year,Value
61,Central Europe and the Baltics,GDP growth (annual %),1952,
62,Central Europe and the Baltics,"GNI per capita, PPP (current international $)",1952,
63,Central Europe and the Baltics,"Gross enrollment ratio, primary, both sexes (%)",1952,
64,Central Europe and the Baltics,"Gross enrolment ratio, secondary, both sexes (%)",1952,
65,Central Europe and the Baltics,High-technology exports (% of manufactured exports),1952,
66,Central Europe and the Baltics,Imports of goods and services (% of GDP),1952,
67,Central Europe and the Baltics,Income share held by lowest 20%,1952,
68,Central Europe and the Baltics,"Industry, value added (% of GDP)",1952,
69,Central Europe and the Baltics,"Inflation, GDP deflator (annual %)",1952,
70,Central Europe and the Baltics,Internet users (per 100 people),1952,
71,Central Europe and the Baltics,"Life expectancy at birth, total (years)",1952,
72,Central Europe and the Baltics,Military expenditure (% of GDP),1952,
73,Central Europe and the Baltics,Mobile cellular subscriptions (per 100 people),1952,
74,Central Europe and the Baltics,Net lending (+) / net borrowing (-) (% of GDP),1952,
75,Central Europe and the Baltics,Population density (people per sq. km of land area),1952,
76,Central Europe and the Baltics,"Prevalence of HIV, total (% of population ages 15-49)",1952,
77,Central Europe and the Baltics,"Revenue, excluding grants (% of GDP)",1952,
78,Central Europe and the Baltics,"Services, etc., value added (% of GDP)",1952,
79,Central Europe and the Baltics,Tax revenue (% of GDP),1952,
80,Central Europe and the Baltics,Time required to start a business (days),1952,
81,Early-demographic dividend,"Agriculture, value added (% of GDP)",1952,
82,Early-demographic dividend,CO2 emissions (metric tons per capita),1952,
83,Early-demographic dividend,Domestic credit provided by financial sector (% of GDP),1952,
84,Early-demographic dividend,Electric power consumption (kWh per capita),1952,
85,Early-demographic dividend,Energy use (kg of oil equivalent per capita),1952,
86,Early-demographic dividend,Exports of goods and services (% of GDP),1952,
87,Early-demographic dividend,"Fertility rate, total (births per woman)",1952,
88,Early-demographic dividend,GDP growth (annual %),1952,
89,Early-demographic dividend,"GNI per capita, PPP (current international $)",1952,
90,Early-demographic dividend,"Gross enrollment ratio, primary, both sexes (%)",1952,
91,Early-demographic dividend,"Gross enrolment ratio, secondary, both sexes (%)",1952,
92,Early-demographic dividend,High-technology exports (% of manufactured exports),1952,
93,Early-demographic dividend,Imports of goods and services (% of GDP),1952,
94,Early-demographic dividend,Income share held by lowest 20%,1952,
95,Early-demographic dividend,"Industry, value added (% of GDP)",1952,
96,Early-demographic dividend,"Inflation, GDP deflator (annual %)",1952,
97,Early-demographic dividend,Internet users (per 100 people),1952,
98,Early-demographic dividend,"Life expectancy at birth, total (years)",1952,
99,Early-demographic dividend,Military expenditure (% of GDP),1952,
100,Early-demographic dividend,Mobile cellular subscriptions (per 100 people),1952,
101,Early-demographic dividend,Net lending (+) / net borrowing (-) (% of GDP),1952,
102,Early-demographic dividend,Population density (people per sq. km of land area),1952,
103,Early-demographic dividend,"Prevalence of HIV, total (% of population ages 15-49)",1952,
104,Early-demographic dividend,"Revenue, excluding grants (% of GDP)",1952,
105,Early-demographic dividend,"Services, etc., value added (% of GDP)",1952,
106,Early-demographic dividend,Tax revenue (% of GDP),1952,
107,Early-demographic dividend,Time required to start a business (days),1952,
108,East Asia & Pacific,"Agriculture, value added (% of GDP)",1952,
109,East Asia & Pacific,CO2 emissions (metric tons per capita),1952,
110,East Asia & Pacific,Domestic credit provided by financial sector (% of GDP),1952,
111,East Asia & Pacific,Electric power consumption (kWh per capita),1952,
112,East Asia & Pacific,Energy use (kg of oil equivalent per capita),1952,
113,East Asia & Pacific,Exports of goods and services (% of GDP),1952,
114,East Asia & Pacific,"Fertility rate, total (births per woman)",1952,
115,East Asia & Pacific,GDP growth (annual %),1952,
116,East Asia & Pacific,"GNI per capita, PPP (current international $)",1952,
117,East Asia & Pacific,"Gross enrollment ratio, primary, both sexes (%)",1952,
118,East Asia & Pacific,"Gross enrolment ratio, secondary, both sexes (%)",1952,
119,East Asia & Pacific,High-technology exports (% of manufactured exports),1952,
120,East Asia & Pacific,Imports of goods and services (% of GDP),1952,
121,East Asia & Pacific,Income share held by lowest 20%,1952,
122,East Asia & Pacific,"Industry, value added (% of GDP)",1952,
123,East Asia & Pacific,"Inflation, GDP deflator (annual %)",1952,
124,East Asia & Pacific,Internet users (per 100 people),1952,
125,East Asia & Pacific,"Life expectancy at birth, total (years)",1952,
126,East Asia & Pacific,Military expenditure (% of GDP),1952,
127,East Asia & Pacific,Mobile cellular subscriptions (per 100 people),1952,
128,East Asia & Pacific,Net lending (+) / net borrowing (-) (% of GDP),1952,
129,East Asia & Pacific,Population density (people per sq. km of land area),1952,
130,East Asia & Pacific,"Prevalence of HIV, total (% of population ages 15-49)",1952,
131,East Asia & Pacific,"Revenue, excluding grants (% of GDP)",1952,
132,East Asia & Pacific,"Services, etc., value added (% of GDP)",1952,
133,East Asia & Pacific,Tax revenue (% of GDP),1952,
134,East Asia & Pacific,Time required to start a business (days),1952,
135,East Asia & Pacific (excluding high income),"Agriculture, value added (% of GDP)",1952,
136,East Asia & Pacific (excluding high income),CO2 emissions (metric tons per capita),1952,
137,East Asia & Pacific (excluding high income),Domestic credit provided by financial sector (% of GDP),1952,
138,East Asia & Pacific (excluding high income),Electric power consumption (kWh per capita),1952,
139,East Asia & Pacific (excluding high income),Energy use (kg of oil equivalent per capita),1952,
140,East Asia & Pacific (excluding high income),Exports of goods and services (% of GDP),1952,
141,East Asia & Pacific (excluding high income),"Fertility rate, total (births per woman)",1952,
142,East Asia & Pacific (excluding high income),GDP growth (annual %),1952,
143,East Asia & Pacific (excluding high income),"GNI per capita, PPP (current international $)",1952,
144,East Asia & Pacific (excluding high income),"Gross enrollment ratio, primary, both sexes (%)",1952,
145,East Asia & Pacific (excluding high income),"Gross enrolment ratio, secondary, both sexes (%)",1952,
146,East Asia & Pacific (excluding high income),High-technology exports (% of manufactured exports),1952,
147,East Asia & Pacific (excluding high income),Imports of goods and services (% of GDP),1952,
148,East Asia & Pacific (excluding high income),Income share held by lowest 20%,1952,
149,East Asia & Pacific (excluding high income),"Industry, value added (% of GDP)",1952,
150,East Asia & Pacific (excluding high income),"Inflation, GDP deflator (annual %)",1952,
151,East Asia & Pacific (excluding high income),Internet users (per 100 people),1952,
152,East Asia & Pacific (excluding high income),"Life expectancy at birth, total (years)",1952,
153,East Asia & Pacific (excluding high income),Military expenditure (% of GDP),1952,
154,East Asia & Pacific (excluding high income),Mobile cellular subscriptions (per 100 people),1952,
155,East Asia & Pacific (excluding high income),Net lending (+) / net borrowing (-) (% of GDP),1952,
156,East Asia & Pacific (excluding high income),Population density (people per sq. km of land area),1952,
157,East Asia & Pacific (excluding high income),"Prevalence of HIV, total (% of population ages 15-49)",1952,
158,East Asia & Pacific (excluding high income),"Revenue, excluding grants (% of GDP)",1952,
159,East Asia & Pacific (excluding high income),"Services, etc., value added (% of GDP)",1952,
160,East Asia & Pacific (excluding high income),Tax revenue (% of GDP),1952,
161,East Asia & Pacific (excluding high income),Time required to start a business (days),1952,
162,East Asia & Pacific (IDA & IBRD countries),"Agriculture, value added (% of GDP)",1952,
163,East Asia & Pacific (IDA & IBRD countries),CO2 emissions (metric tons per capita),1952,
164,East Asia & Pacific (IDA & IBRD countries),Domestic credit provided by financial sector (% of GDP),1952,
165,East Asia & Pacific (IDA & IBRD countries),Electric power consumption (kWh per capita),1952,
166,East Asia & Pacific (IDA & IBRD countries),Energy use (kg of oil equivalent per capita),1952,
167,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (% of GDP),1952,
168,East Asia & Pacific (IDA & IBRD countries),"Fertility rate, total (births per woman)",1952,
169,East Asia & Pacific (IDA & IBRD countries),GDP growth (annual %),1952,
170,East Asia & Pacific (IDA & IBRD countries),"GNI per capita, PPP (current international $)",1952,
171,East Asia & Pacific (IDA & IBRD countries),"Gross enrollment ratio, primary, both sexes (%)",1952,
172,East Asia & Pacific (IDA & IBRD countries),"Gross enrolment ratio, secondary, both sexes (%)",1952,
173,East Asia & Pacific (IDA & IBRD countries),High-technology exports (% of manufactured exports),1952,
174,East Asia & Pacific (IDA & IBRD countries),Imports of goods and services (% of GDP),1952,
175,East Asia & Pacific (IDA & IBRD countries),Income share held by lowest 20%,1952,
176,East Asia & Pacific (IDA & IBRD countries),"Industry, value added (% of GDP)",1952,
177,East Asia & Pacific (IDA & IBRD countries),"Inflation, GDP deflator (annual %)",1952,
178,East Asia & Pacific (IDA & IBRD countries),Internet users (per 100 people),1952,
179,East Asia & Pacific (IDA & IBRD countries),"Life expectancy at birth, total (years)",1952,
180,East Asia & Pacific (IDA & IBRD countries),Military expenditure (% of GDP),1952,
181,East Asia & Pacific (IDA & IBRD countries),Mobile cellular subscriptions (per 100 people),1952,
182,East Asia & Pacific (IDA & IBRD countries),Net lending (+) / net borrowing (-) (% of GDP),1952,
183,East Asia & Pacific (IDA & IBRD countries),Population density (people per sq. km of land area),1952,
184,East Asia & Pacific (IDA & IBRD countries),"Prevalence of HIV, total (% of population ages 15-49)",1952,
185,East Asia & Pacific (IDA & IBRD countries),"Revenue, excluding grants (% of GDP)",1952,
186,East Asia & Pacific (IDA & IBRD countries),"Services, etc., value added (% of GDP)",1952,
187,East Asia & Pacific (IDA & IBRD countries),Tax revenue (% of GDP),1952,
188,East Asia & Pacific (IDA & IBRD countries),Time required to start a business (days),1952,
189,Euro area,"Agriculture, value added (% of GDP)",1952,
190,Euro area,CO2 emissions (metric tons per capita),1952,
191,Euro area,Domestic credit provided by financial sector (% of GDP),1952,
192,Euro area,Electric power consumption (kWh per capita),1952,
193,Euro area,Energy use (kg of oil equivalent per capita),1952,
194,Euro area,Exports of goods and services (% of GDP),1952,
195,Euro area,"Fertility rate, total (births per woman)",1952,
196,Euro area,GDP growth (annual %),1952,
197,Euro area,"GNI per capita, PPP (current international $)",1952,
198,Euro area,"Gross enrollment ratio, primary, both sexes (%)",1952,
199,Euro area,"Gross enrolment ratio, secondary, both sexes (%)",1952,
200,Euro area,High-technology exports (% of manufactured exports),1952,
201,Euro area,Imports of goods and services (% of GDP),1952,
202,Euro area,Income share held by lowest 20%,1952,
203,Euro area,"Industry, value added (% of GDP)",1952,
204,Euro area,"Inflation, GDP deflator (annual %)",1952,
205,Euro area,Internet users (per 100 people),1952,
206,Euro area,"Life expectancy at birth, total (years)",1952,
207,Euro area,Military expenditure (% of GDP),1952,
208,Euro area,Mobile cellular subscriptions (per 100 people),1952,
209,Euro area,Net lending (+) / net borrowing (-) (% of GDP),1952,
210,Euro area,Population density (people per sq. km of land area),1952,
211,Euro area,"Prevalence of HIV, total (% of population ages 15-49)",1952,
212,Euro area,"Revenue, excluding grants (% of GDP)",1952,
213,Euro area,"Services, etc., value added (% of GDP)",1952,
214,Euro area,Tax revenue (% of GDP),1952,
215,Euro area,Time required to start a business (days),1952,
216,Europe & Central Asia,"Agriculture, value added (% of GDP)",1952,
217,Europe & Central Asia,CO2 emissions (metric tons per capita),1952,
218,Europe & Central Asia,Domestic credit provided by financial sector (% of GDP),1952,
219,Europe & Central Asia,Electric power consumption (kWh per capita),1952,
220,Europe & Central Asia,Energy use (kg of oil equivalent per capita),1952,
221,Europe & Central Asia,Exports of goods and services (% of GDP),1952,
222,Europe & Central Asia,"Fertility rate, total (births per woman)",1952,
223,Europe & Central Asia,GDP growth (annual %),1952,
224,Europe & Central Asia,"GNI per capita, PPP (current international $)",1952,
225,Europe & Central Asia,"Gross enrollment ratio, primary, both sexes (%)",1952,
226,Europe & Central Asia,"Gross enrolment ratio, secondary, both sexes (%)",1952,
227,Europe & Central Asia,High-technology exports (% of manufactured exports),1952,
228,Europe & Central Asia,Imports of goods and services (% of GDP),1952,
229,Europe & Central Asia,Income share held by lowest 20%,1952,
230,Europe & Central Asia,"Industry, value added (% of GDP)",1952,
231,Europe & Central Asia,"Inflation, GDP deflator (annual %)",1952,
232,Europe & Central Asia,Internet users (per 100 people),1952,
233,Europe & Central Asia,"Life expectancy at birth, total (years)",1952,
234,Europe & Central Asia,Military expenditure (% of GDP),1952,
235,Europe & Central Asia,Mobile cellular subscriptions (per 100 people),1952,
236,Europe & Central Asia,Net lending (+) / net borrowing (-) (% of GDP),1952,
237,Europe & Central Asia,Population density (people per sq. km of land area),1952,
238,Europe & Central Asia,"Prevalence of HIV, total (% of population ages 15-49)",1952,
239,Europe & Central Asia,"Revenue, excluding grants (% of GDP)",1952,
240,Europe & Central Asia,"Services, etc., value added (% of GDP)",1952,
241,Europe & Central Asia,Tax revenue (% of GDP),1952,
242,Europe & Central Asia,Time required to start a business (days),1952,
243,Europe & Central Asia (excluding high income),"Agriculture, value added (% of GDP)",1952,
244,Europe & Central Asia (excluding high income),CO2 emissions (metric tons per capita),1952,
245,Europe & Central Asia (excluding high income),Domestic credit provided by financial sector (% of GDP),1952,
246,Europe & Central Asia (excluding high income),Electric power consumption (kWh per capita),1952,
247,Europe & Central Asia (excluding high income),Energy use (kg of oil equivalent per capita),1952,
248,Europe & Central Asia (excluding high income),Exports of goods and services (% of GDP),1952,
249,Europe & Central Asia (excluding high income),"Fertility rate, total (births per woman)",1952,
250,Europe & Central Asia (excluding high income),GDP growth (annual %),1952,
251,Europe & Central Asia (excluding high income),"GNI per capita, PPP (current international $)",1952,
252,Europe & Central Asia (excluding high income),"Gross enrollment ratio, primary, both sexes (%)",1952,
253,Europe & Central Asia (excluding high income),"Gross enrolment ratio, secondary, both sexes (%)",1952,
254,Europe & Central Asia (excluding high income),High-technology exports (% of manufactured exports),1952,
255,Europe & Central Asia (excluding high income),Imports of goods and services (% of GDP),1952,
256,Europe & Central Asia (excluding high income),Income share held by lowest 20%,1952,
257,Europe & Central Asia (excluding high income),"Industry, value added (% of GDP)",1952,
258,Europe & Central Asia (excluding high income),"Inflation, GDP deflator (annual %)",1952,
259,Europe & Central Asia (excluding high income),Internet users (per 100 people),1952,
260,Europe & Central Asia (excluding high income),"Life expectancy at birth, total (years)",1952,
261,Europe & Central Asia (excluding high income),Military expenditure (% of GDP),1952,
262,Europe & Central Asia (excluding high income),Mobile cellular subscriptions (per 100 people),1952,
263,Europe & Central Asia (excluding high income),Net lending (+) / net borrowing (-) (% of GDP),1952,
264,Europe & Central Asia (excluding high income),Population density (people per sq. km of land area),1952,
265,Europe & Central Asia (excluding high income),"Prevalence of HIV, total (% of population ages 15-49)",1952,
266,Europe & Central Asia (excluding high income),"Revenue, excluding grants (% of GDP)",1952,
267,Europe & Central Asia (excluding high income),"Services, etc., value added (% of GDP)",1952,
268,Europe & Central Asia (excluding high income),Tax revenue (% of GDP),1952,
269,Europe & Central Asia (excluding high income),Time required to start a business (days),1952,
270,Europe & Central Asia (IDA & IBRD countries),"Agriculture, value added (% of GDP)",1952,
271,Europe & Central Asia (IDA & IBRD countries),CO2 emissions (metric tons per capita),1952,
272,Europe & Central Asia (IDA & IBRD countries),Domestic credit provided by financial sector (% of GDP),1952,
273,Europe & Central Asia (IDA & IBRD countries),Electric power consumption (kWh per capita),1952,
274,Europe & Central Asia (IDA & IBRD countries),Energy use (kg of oil equivalent per capita),1952,
275,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (% of GDP),1952,
276,Europe & Central Asia (IDA & IBRD countries),"Fertility rate, total (births per woman)",1952,
277,Europe & Central Asia (IDA & IBRD countries),GDP growth (annual %),1952,
278,Europe & Central Asia (IDA & IBRD countries),"GNI per capita, PPP (current international $)",1952,
279,Europe & Central Asia (IDA & IBRD countries),"Gross enrollment ratio, primary, both sexes (%)",1952,
280,Europe & Central Asia (IDA & IBRD countries),"Gross enrolment ratio, secondary, both sexes (%)",1952,
281,Europe & Central Asia (IDA & IBRD countries),High-technology exports (% of manufactured exports),1952,
282,Europe & Central Asia (IDA & IBRD countries),Imports of goods and services (% of GDP),1952,
283,Europe & Central Asia (IDA & IBRD countries),Income share held by lowest 20%,1952,
284,Europe & Central Asia (IDA & IBRD countries),"Industry, value added (% of GDP)",1952,
285,Europe & Central Asia (IDA & IBRD countries),"Inflation, GDP deflator (annual %)",1952,
286,Europe & Central Asia (IDA & IBRD countries),Internet users (per 100 people),1952,
287,Europe & Central Asia (IDA & IBRD countries),"Life expectancy at birth, total (years)",1952,
288,Europe & Central Asia (IDA & IBRD countries),Military expenditure (% of GDP),1952,
289,Europe & Central Asia (IDA & IBRD countries),Mobile cellular subscriptions (per 100 people),1952,
290,Europe & Central Asia (IDA & IBRD countries),Net lending (+) / net borrowing (-) (% of GDP),1952,
291,Europe & Central Asia (IDA & IBRD countries),Population density (people per sq. km of land area),1952,
292,Europe & Central Asia (IDA & IBRD countries),"Prevalence of HIV, total (% of population ages 15-49)",1952,
293,Europe & Central Asia (IDA & IBRD countries),"Revenue, excluding grants (% of GDP)",1952,
294,Europe & Central Asia (IDA & IBRD countries),"Services, etc., value added (% of GDP)",1952,
295,Europe & Central Asia (IDA & IBRD countries),Tax revenue (% of GDP),1952,
296,Europe & Central Asia (IDA & IBRD countries),Time required to start a business (days),1952,
297,European Union,"Agriculture, value added (% of GDP)",1952,
298,European Union,CO2 emissions (metric tons per capita),1952,
299,European Union,Domestic credit provided by financial sector (% of GDP),1952,
300,European Union,Electric power consumption (kWh per capita),1952,
301,European Union,Energy use (kg of oil equivalent per capita),1952,
302,European Union,Exports of goods and services (% of GDP),1952,
303,European Union,"Fertility rate, total (births per woman)",1952,
304,European Union,GDP growth (annual %),1952,
305,European Union,"GNI per capita, PPP (current international $)",1952,
306,European Union,"Gross enrollment ratio, primary, both sexes (%)",1952,
307,European Union,"Gross enrolment ratio, secondary, both sexes (%)",1952,
308,European Union,High-technology exports (% of manufactured exports),1952,
309,European Union,Imports of goods and services (% of GDP),1952,
310,European Union,Income share held by lowest 20%,1952,
311,European Union,"Industry, value added (% of GDP)",1952,
312,European Union,"Inflation, GDP deflator (annual %)",1952,
313,European Union,Internet users (per 100 people),1952,
314,European Union,"Life expectancy at birth, total (years)",1952,
315,European Union,Military expenditure (% of GDP),1952,
316,European Union,Mobile cellular subscriptions (per 100 people),1952,
317,European Union,Net lending (+) / net borrowing (-) (% of GDP),1952,
318,European Union,Population density (people per sq. km of land area),1952,
319,European Union,"Prevalence of HIV, total (% of population ages 15-49)",1952,
320,European Union,"Revenue, excluding grants (% of GDP)",1952,
321,European Union,"Services, etc., value added (% of GDP)",1952,
322,European Union,Tax revenue (% of GDP),1952,
323,European Union,Time required to start a business (days),1952,
324,Fragile and conflict affected situations,"Agriculture, value added (% of GDP)",1952,
325,Fragile and conflict affected situations,CO2 emissions (metric tons per capita),1952,
326,Fragile and conflict affected situations,Domestic credit provided by financial sector (% of GDP),1952,
327,Fragile and conflict affected situations,Electric power consumption (kWh per capita),1952,
328,Fragile and conflict affected situations,Energy use (kg of oil equivalent per capita),1952,
329,Fragile and conflict affected situations,Exports of goods and services (% of GDP),1952,
330,Fragile and conflict affected situations,"Fertility rate, total (births per woman)",1952,
331,Fragile and conflict affected situations,GDP growth (annual %),1952,
332,Fragile and conflict affected situations,"GNI per capita, PPP (current international $)",1952,
333,Fragile and conflict affected situations,"Gross enrollment ratio, primary, both sexes (%)",1952,
334,Fragile and conflict affected situations,"Gross enrolment ratio, secondary, both sexes (%)",1952,
335,Fragile and conflict affected situations,High-technology exports (% of manufactured exports),1952,
336,Fragile and conflict affected situations,Imports of goods and services (% of GDP),1952,
337,Fragile and conflict affected situations,Income share held by lowest 20%,1952,
338,Fragile and conflict affected situations,"Industry, value added (% of GDP)",1952,
339,Fragile and conflict affected situations,"Inflation, GDP deflator (annual %)",1952,
340,Fragile and conflict affected situations,Internet users (per 100 people),1952,
341,Fragile and conflict affected situations,"Life expectancy at birth, total (years)",1952,
342,Fragile and conflict affected situations,Military expenditure (% of GDP),1952,
343,Fragile and conflict affected situations,Mobile cellular subscriptions (per 100 people),1952,
344,Fragile and conflict affected situations,Net lending (+) / net borrowing (-) (% of GDP),1952,
345,Fragile and conflict affected situations,Population density (people per sq. km of land area),1952,
346,Fragile and conflict affected situations,"Prevalence of HIV, total (% of population ages 15-49)",1952,
347,Fragile and conflict affected situations,"Revenue, excluding grants (% of GDP)",1952,
348,Fragile and conflict affected situations,"Services, etc., value added (% of GDP)",1952,
349,Fragile and conflict affected situations,Tax revenue (% of GDP),1952,
350,Fragile and conflict affected situations,Time required to start a business (days),1952,
351,Heavily indebted poor countries (HIPC),"Agriculture, value added (% of GDP)",1952,
352,Heavily indebted poor countries (HIPC),CO2 emissions (metric tons per capita),1952,
353,Heavily indebted poor countries (HIPC),Domestic credit provided by financial sector (% of GDP),1952,
354,Heavily indebted poor countries (HIPC),Electric power consumption (kWh per capita),1952,
355,Heavily indebted poor countries (HIPC),Energy use (kg of oil equivalent per capita),1952,
356,Heavily indebted poor countries (HIPC),Exports of goods and services (% of GDP),1952,
357,Heavily indebted poor countries (HIPC),"Fertility rate, total (births per woman)",1952,
358,Heavily indebted poor countries (HIPC),GDP growth (annual %),1952,
359,Heavily indebted poor countries (HIPC),"GNI per capita, PPP (current international $)",1952,
360,Heavily indebted poor countries (HIPC),"Gross enrollment ratio, primary, both sexes (%)",1952,
361,Heavily indebted poor countries (HIPC),"Gross enrolment ratio, secondary, both sexes (%)",1952,
362,Heavily indebted poor countries (HIPC),High-technology exports (% of manufactured exports),1952,
363,Heavily indebted poor countries (HIPC),Imports of goods and services (% of GDP),1952,
364,Heavily indebted poor countries (HIPC),Income share held by lowest 20%,1952,
365,Heavily indebted poor countries (HIPC),"Industry, value added (% of GDP)",1952,
366,Heavily indebted poor countries (HIPC),"Inflation, GDP deflator (annual %)",1952,
367,Heavily indebted poor countries (HIPC),Internet users (per 100 people),1952,
368,Heavily indebted poor countries (HIPC),"Life expectancy at birth, total (years)",1952,
369,Heavily indebted poor countries (HIPC),Military expenditure (% of GDP),1952,
370,Heavily indebted poor countries (HIPC),Mobile cellular subscriptions (per 100 people),1952,
371,Heavily indebted poor countries (HIPC),Net lending (+) / net borrowing (-) (% of GDP),1952,
372,Heavily indebted poor countries (HIPC),Population density (people per sq. km of land area),1952,
373,Heavily indebted poor countries (HIPC),"Prevalence of HIV, total (% of population ages 15-49)",1952,
374,Heavily indebted poor countries (HIPC),"Revenue, excluding grants (% of GDP)",1952,
375,Heavily indebted poor countries (HIPC),"Services, etc., value added (% of GDP)",1952,
376,Heavily indebted poor countries (HIPC),Tax revenue (% of GDP),1952,
377,Heavily indebted poor countries (HIPC),Time required to start a business (days),1952,
378,High income,"Agriculture, value added (% of GDP)",1952,
379,High income,CO2 emissions (metric tons per capita),1952,
380,High income,Domestic credit provided by financial sector (% of GDP),1952,
381,High income,Electric power consumption (kWh per capita),1952,
382,High income,Energy use (kg of oil equivalent per capita),1952,
383,High income,Exports of goods and services (% of GDP),1952,
384,High income,"Fertility rate, total (births per woman)",1952,
385,High income,GDP growth (annual %),1952,
386,High income,"GNI per capita, PPP (current international $)",1952,
387,High income,"Gross enrollment ratio, primary, both sexes (%)",1952,
388,High income,"Gross enrolment ratio, secondary, both sexes (%)",1952,
389,High income,High-technology exports (% of manufactured exports),1952,
390,High income,Imports of goods and services (% of GDP),1952,
391,High income,Income share held by lowest 20%,1952,
392,High income,"Industry, value added (% of GDP)",1952,
393,High income,"Inflation, GDP deflator (annual %)",1952,
394,High income,Internet users (per 100 people),1952,
395,High income,"Life expectancy at birth, total (years)",1952,
396,High income,Military expenditure (% of GDP),1952,
397,High income,Mobile cellular subscriptions (per 100 people),1952,
398,High income,Net lending (+) / net borrowing (-) (% of GDP),1952,
399,High income,Population density (people per sq. km of land area),1952,
400,High income,"Prevalence of HIV, total (% of population ages 15-49)",1952,
401,High income,"Revenue, excluding grants (% of GDP)",1952,
402,High income,"Services, etc., value added (% of GDP)",1952,
403,High income,Tax revenue (% of GDP),1952,
404,High income,Time required to start a business (days),1952,
405,IBRD only,"Agriculture, value added (% of GDP)",1952,
406,IBRD only,CO2 emissions (metric tons per capita),1952,
407,IBRD only,Domestic credit provided by financial sector (% of GDP),1952,
408,IBRD only,Electric power consumption (kWh per capita),1952,
409,IBRD only,Energy use (kg of oil equivalent per capita),1952,
410,IBRD only,Exports of goods and services (% of GDP),1952,
411,IBRD only,"Fertility rate, total (births per woman)",1952,
412,IBRD only,GDP growth (annual %),1952,
