answer,question
“秒懂五千年”是百度百科2018年全新推出的科普中国传统文化原创动画栏目。该栏目构思新颖风趣幽默，遵循中国历史的发展脉络引出了一个个生动有趣的传统文化故事，为青少年再现了中华民族五千年璀璨的文明。...,秒懂五千年
“秒懂大师说”是百度百科2017全新推出的秒懂百科子栏目，邀请中外各领域顶尖学者、智囊、权威人士分享解读当今社会最引人关注的热点趋势与话题，传授各领域最独到、权威的观点知识。...,秒懂大师说
金融资产（Financial Assets) ，是实物资产的对称，指单位或个人所拥有的以价值形态存在的资产。是一种索取实物资产的无形的权利。是一切可以在有组织的金融市场上进行交易、具有现实价格和未来估价的金融工具的总称。金融资产的最大特征是能够在市场交易中为其所有者提供即期或远期的货币收入流量。尽管金融市场的存在并不是金融资产创造与交易的必要条件，但大多数国家经济中金融资产还是在相应的金融市场上交易的。...,金融资产
《秒懂看瓦特》是2018年百度百科推出的影视综解说的短视频栏目。《秒懂看瓦特》联合多位优秀的影评人，解说当下最热的电影、电视剧、综艺等娱乐内容，帮助更多人快速认识到“看what”？！...,秒懂看瓦特
金融企业是指执行业务需要取得金融监管部门授予的金融业务许可证的企业，包括执业需取得银行业务许可证的邮政储蓄银行、国有商业银行、股份制商业银行、信托投资公司、金融资产管理公司、金融租赁公司和部分财务公司等；执业需取得证券业务许可证的证券公司、期货公司和基金管理公司等；执业需取得保险业务许可证的各类保险公司等。...,金融企业
金融调控是指国家综合运用经济、法律和行政手段，调节金融市场，保证金融体系稳定运行，实现物价稳定和国际收支平衡。...,金融调控
金融服务是指金融机构运用货币交易手段融通有价物品，向金融活动参与者和顾客提供的共同受益、获得满足的活动。按照世界贸易组织附件的内容，金融服务的提供者包括下列类型机构：保险及其相关服务，还包括所有银行和其他金融服务（保险除外）。广义上的金融服务，是指整个金融业发挥其多种功能以促进经济与社会的发展。具体来说，金融服务是指金融机构通过开展业务活动为客户提供包括融资投资、储蓄、信贷、结算、证券买卖、商业保险和金融信息咨询等多方面的服务。增强金融服务意识，提高金融服务水平，对于加快推进我国的现代金融制度建设，改进金融机构经营管理，增强金融业竞争力，更好地促进经济和社会发展，具有十分重要的意义。...,金融服务
金融部门：金融市场和金融机构合称经济中的金融部门。...,金融部门
商业保险是指通过订立保险合同运营，以营利为目的的保险形式，由专门的保险企业经营。商业保险关系是由当事人自愿缔结的合同关系，投保人根据合同约定，向保险公司支付保险费，保险公司根据合同约定的可能发生的事故因其发生所造成的财产损失承担赔偿保险金责任，或者当被保险人死亡、伤残、疾病或达到约定的年龄、期限时承担给付保险金责任。所谓社会保险，是指收取保险费，形成社会保险基金，用来对其中因年老、疾病、生育、伤残、死亡和失业而导致丧失劳动能力或失去工作机会的成员提供基本生活保障的一种社会保障制度。...,商业保险
金融市场体系是指其子市场的构成形式。包括货币市场、资本市场。货币市场包括同业拆借市场、回购协议市场、商业票据市场、银行承兑汇票市场、短期政府债券市场、大面额可转让存单市场。资本市场包括中长期银行信贷市场、证券市场（债券市场、股票市场）、保险市场、融资租赁市场。...,金融市场体系
期货（Futures）与现货完全不同，现货是实实在在可以交易的货（商品），期货主要不是货，而是以某种大众产品如棉花、大豆、石油等及金融资产如股票、债券等为标的标准化可交易合约。因此，这个标的物可以是某种商品（例如黄金、原油、农产品），也可以是金融工具。交收期货的日子可以是一星期之后，一个月之后，三个月之后，甚至一年之后。买卖期货的合同或协议叫做期货合约。买卖期货的场所叫做期货市场。投资者可以对期货进行投资或投机。...,期货
金融监管机构是根据法律规定对一国的金融体系进行监督管理的机构。其职责包括按照规定监督管理金融市场；发布有关金融监督管理和业务的命令和规章；监督管理金融机构的合法合规运作等。2018年4月8日，中国银行保险监督管理委员会正式挂牌。我国目前的金融监管机构包括“一行两会”，即中国人民银行、银保监会和证监会。...,金融监管机构
中国人民银行（The People's Bank Of China，英文简称PBOC），简称央行，是中华人民共和国的中央银行，中华人民共和国国务院组成部门。在国务院领导下，制定和执行货币政策，防范和化解金融风险，维护金融稳定。1948年12月1日，在华北银行、北海银行、西北农民银行的基础上在河北省石家庄市合并组成中国人民银行。1983年9月，国务院决定中国人民银行专门行使中国国家中央银行职能。1995年3月18日，第八届全国人民代表大会第三次会议通过了《中华人民共和国中国人民银行法》，至此，中国人民银行作为中央银行以法律形式被确定下来。中国人民银行根据《中华人民共和国中国人民银行法》的规定，在国务院的领导下依法独立执行货币政策，履行职责，开展业务，不受地方政府、社会团体和个人的干涉。...,中国人民银行
中国银行（BANK OF CHINA，简称BOC，中行）经孙中山先生批准，于1912年2月5日正式成立。总行位于北京复兴门内大街1号，是中央管理的大型国有银行， 国家副部级单位。中国银行作为中国共产党领导下的国有金融机构，以习近平新时代中国特色社会主义思想为指导。中国银行是香港、澳门地区的发钞行，业务范围涵盖商业银行、投资银行、基金、保险、航空租赁等。中国银行是中国唯一持续经营超过百年的银行，也是中国国际化和多元化程度最高的银行。机构遍及中国内地及57个国家和地区，旗下有中银国际、中银投资、中银基金、中银保险、中银航空租赁、中银消费金融、中银金融商务、中银香港等控股金融机构。2016年，中国银行再次入选全球系统重要性银行，成为新兴市场经济体中唯一连续6年入选的金融机构。...,中国银行
金融体制是指银行等金融机构利用各种信用活动组织、调节货币流通与资金运动的形式和管理制度的总和。其主要内容包括： (1) 银行体制，它决定一个国家的银行采用什么标准设立，是采用单轨银行制还是双轨银行制。在双轨制银行的条件下，直接经营货币金融业务的银行是采用专业银行制还是全能银行制；这些银行又分别采用单一银行制还是分行制。(2) 货币发行体制，它决定一个国家的货币本位、计量单位、各种货币的印刷、铸造的总量与比例、发行与流通程序以及相应的准备制度，即是采取实物保证还是信用保证。在实物保证下，黄金外汇保证占多大比重，其他实物占多大比重；在信用保证下，各种有价证券占多大比重，其他信用占多大比重。(3)借贷资本 (信贷资金) 管理体制，它决定一个国家的借贷资本或信贷资金按何种方式分配于社会再生产各环节、各部门、各企业之中。(4) 利率管理体制，它决定国家政府或金融管理当局对利率如何实施管制，是全部管制...,金融体制
投资体制亦称“投资管理体制”。作为经济体制的重要组成部分，是国家组织、领导和管理投资经济活动所采取的基本制度和主要方式、方法。其内容主要包括投资决策主体如何确定，投资方式方法如何选择，投资领域各单位和经济实体之间的经济关系如何处理等。其中，投资决策主体是投资体制的核心要素。投资体制主要有两种划分：①按其管理职能划分，可分为投资决策体制、投资计划体制、投资实施体制、投资资金管理体制、投资经营体制、投资调控体制等; ②按其管理对象划分，可分为投资项目管理体制、投资项目设计体制、投资项目施工体制; 等等。...,投资体制
社会信用体系也称国家信用管理体系或国家信用体系。社会信用体系的建立和完善是我国社会主义市场经济不断走向成熟的重要标志之一。社会信用体系是以相对完善的法律、法规体系为基础；以建立和完善信用信息共享机制为核心；以信用服务市场的培育和形成为动力；以信用服务行业主体竞争力的不断提高为支撑；以政府强有力的监管体系作保障的国家社会治理机制。它的核心作用在于，记录社会主体信用状况，揭示社会主体信用优劣，警示社会主体信用风险，并整合全社会力量褒扬诚信，惩戒失信。可以充分调动市场自身的力量净化环境，降低发展成本，降低发展风险，弘扬诚信文化。它是一种社会机制，具体作用于一国的市场规范，它旨在建立一个适合信用交易发展的市场环境，保证一国的市场经济向信用经济方向转变，即从以原始支付手段为主流的市场交易方式向以信用交易为主流的市场交易方式的健康转变。这种机制会建立一种新的市场规则，使社会资本得以形成，直接地保证一国...,社会信用体系
市值是指一家上市公司的发行股份按市场价格计算出来的股票总价值，其计算方法为每股股票的市场价格乘以发行总股数。整个股市上所有上市公司的市值总和，即为股票总市值。...,市值
公司债券是指股份公司在一定时期内 (如10年或20年) 为追加资本而发行的借款凭证。对于持有人来说，它只是向公司提供贷款的证书，所反映的只是一种普通的债权债务关系。持有人虽无权参与股份公司的管理活动，但每年可根据票面的规定向公司收取固定的利息，且收息顺序要先于股东分红，股份公司破产清理时亦可优先收回本金。公司债券期限较长，一般在10年以上，债券一旦到期，股份公司必须偿还本金，赎回债券。...,公司债券
风险投资（英语：Venture Capital，缩写为VC）简称风投，又译称为创业投资，主要是指向初创企业提供资金支持并取得该公司股份的一种融资方式。风险投资是私人股权投资的一种形式。风险投资公司为一专业的投资公司，由一群具有科技及财务相关知识与经验的人所组合而成的，经由直接投资获取投资公司股权的方式，提供资金给需要资金者（被投资公司）。风投公司的资金大多用于投资新创事业或是未上市企业（虽然现今法规上已大幅放宽资金用途），并不以经营被投资公司为目的，仅是提供资金及专业上的知识与经验，以协助被投资公司获取更大的利润为目的，所以是一追求长期利润的高风险高报酬事业。...,风险投资
直接融资是间接融资的对称。没有金融中介机构介入的资金融通方式。在这种融资方式下，在一定时期内，资金盈余单位通过直接与资金需求单位协议，或在金融市场上购买资金需求单位所发行的有价证券，将货币资金提供给需求单位使用。商业信用、企业发行股票和债券，以及企业之间、个人之间的直接借贷，均属于直接融资。直接融资是资金直供方式，与间接金融相比，投融资双方都有较多的选择自由。而且，对投资者来说收益较高，对筹资者来说成本却又比较低。但由于筹资人资信程度很不一样，造成了债权人承担的风险程度很不相同，且部分直接金融资金具有不可逆性。...,直接融资
所谓混业经营是指商业银行及其它金融企业以科学的组织方式在货币和资本市场进行多业务、多品种、多方式的交叉经营和服务的总称。金融混业经营是世界金融发展的大趋势，也是中国金融改革的最终目标之一。从国内外的情况看，混业经营有诸多公认的好处，比如：为资金更合理的使用、更快的流动创造了有利条件；有助于金融各个领域之间发挥协同作用，减少或避免拮抗作用；有助于对风险的系统监管等。只有混业经营才有助于对风险的系统监管。...,混业经营
分业经营（Separate Operation）就是指对金融机构业务范围进行某种程度的“分业”管制。分业经营有三个层次：第一个层次是指金融业与非金融业的分离，第二个层次是指金融业中银行、证券和保险三个子行业的分离，第三个层次是指银行、证券和保险各子行业内部有关业务的进一步分离。...,分业经营
信息透明度指参与经济活动的市场主体等相关的信息的公开程度。...,信息透明度
"简介中小金融机构是指股份制商业银行和地方性金融机构·其经营机制较为灵活，服务对象最初是两小经济，即集体经济、个体私营经济,对支持非国有经济发展起到一定的扶持作用。...",中小金融机构
金融监管体系是一个国家或地区具有金融监管职能的职能机构组成的有机整体。一般包括金融监管机构、金融监管法律、金融监管内容和方法等。其中金融监管机构是金融监管体系的主要方面。金融监管机构，除了中央银行 (或其他金融监管当局) 外，还包括各金融机构内部稽核审计部门、金融同业自律组织 (如行业协会)以及社会中介组织 (如会计师事务所)。其中，中央银行或其他金融监管当局通常在一个国家或地区的金融监管组织机构中居于核心位置。世界各国的金融监管体系呈现出多样化的特征，它的形成与本国法律的规定和历史文化传统有着密切的关系。从发展趋势看，各国金融监管机构的设置在朝着比较独立和超脱的方向变化。...,金融监管体系
金融资产（Financial Assets) ，是实物资产的对称，指单位或个人所拥有的以价值形态存在的资产。是一种索取实物资产的无形的权利。是一切可以在有组织的金融市场上进行交易、具有现实价格和未来估价的金融工具的总称。金融资产的最大特征是能够在市场交易中为其所有者提供即期或远期的货币收入流量。尽管金融市场的存在并不是金融资产创造与交易的必要条件，但大多数国家经济中金融资产还是在相应的金融市场上交易的。...,金融资产
金融风险指的是与金融有关的风险，如金融市场风险、金融产品风险、金融机构风险等。 一家金融机构发生的风险所带来的后果，往往超过对其自身的影响。金融机构在具体的金融交易活动中出现的风险，有可能对该金融机构的生存构成威胁；具体的一家金融机构因经营不善而出现危机，有可能对整个金融体系的稳健运行构成威胁；一旦发生系统风险，金融体系运转失灵，必然会导致全社会经济秩序的混乱，甚至引发严重的政治危机。...,金融风险
"政策性银行（policy lender/non-commercial bank）是指由政府创立，以贯彻政府的经济政策为目标,在特定领域开展金融业务的不以盈利为目的的专业性金融机构。实行政策性金融与商业性金融相分离，组建政策性银行，承担严格界定的政策性业务，同时实现专业银行商业化,发展商业银行，大力发展商业金融服务以适应市场经济的需要，是我国金融体制改革的一项重要内容。政策性银行不以营利为目的，专门为贯彻、配合政府社会经济政策或意图，在特定的业务领域内，直接或间接地从事政策性融资活动，充当政府发展经济、促进社会进步、进行宏观经济管理工具。1994年中国政府设立了国家开发银行、中国进出口银行、中国农业发展银行三大政策性银行，均直属国务院领导。2015年3月，国务院明确国开行定位为开发性金融机构，从政策银行序列中剥离。...",政策性银行
金融监管体制是金融监管的职责划分和权力分配的方式和组织制度。国际上主要的金融监管体制可分为双线多头监管体制、一线多头监管体制和单一监管体制。金融监管体制是各国历史和国情的产物。确立监管体制模式的基本原则是，既要提高监管的效率，避免过分的职责交叉和相互掣肘，又要注意权力的相互制约，避免权力过度集中。在监管权力相对集中于一个监管主体的情况下，必须实行科学合理的内部权力划分和职责分工，以保证监管权力的正确行使。...,金融监管体制
中央银行（Central Bank）国家中居主导地位的金融中心机构，是国家干预和调控国民经济发展的重要工具。负责制定并执行国家货币信用政策，独具货币发行权，实行金融监管。中国的中央银行为中国人民银行，简称央行。...,中央银行
保险公司是指依保险法和公司法设立的公司法人。保险公司收取保费，将保费所得资本投资于债券、股票、贷款等资产，运用这些资产所得收入支付保单所确定的保险赔偿。保险公司通过上述业务，能够在投资中获得高额回报并以较低的保费向客户提供适当的保险服务，从而盈利。保险公司的业务分为两类: (1) 人身保险业务，包括人寿保险、健康保险、意外伤害保险等保险业务。(2) 财产保险业务，包括财产损失保险、责任保险、信用保险、保证保险等保险业务。我国的保险公司一般不得兼营人身保险业务和财产保险业务。保险公司（insurance company），是采用公司组织形式的保险人，经营保险业务。 保险关系中的保险人，享有收取保险费、建立保险费基金的权利。同时，当保险事故发生时，有义务赔偿被保险人的经济损失。保险公司是销售保险合约、提供风险保障的公司。保险公司是指经营保险业的经济组织。保险公司，是指经中国保险监督管理机构批准...,保险公司
商业银行（Commercial Bank），英文缩写为CB，是银行的一种类型，职责是通过存款、贷款、汇兑、储蓄等业务，承担信用中介的金融机构。主要的业务范围是吸收公众存款、发放贷款以及办理票据贴现等。一般的商业银行没有货币的发行权，商业银行的传统业务主要集中在经营存款和贷款业务。自2014年8月1日起有条件免收个人客户账户管理费、年费和养老金异地取款手续费，并降低部分收费标准。个人跨行柜台转账汇款手续费最高50元封顶，对公跨行柜台转账汇款手续费200元封顶。...,商业银行
外部性又称为溢出效应、外部影响、外差效应或外部效应、外部经济，指一个人或一群人的行动和决策使另一个人或一群人受损或受益的情况。经济外部性是经济主体（包括厂商或个人）的经济活动对他人和社会造成的非市场化的影响。即社会成员（包括组织和个人）从事经济活动时其成本与后果不完全由该行为人承担。分为正外部性 (positive externality) 和负外部性 (negative externality)。正外部性是某个经济行为个体的活动使他人或社会受益，而受益者无须花费代价，负外部性是某个经济行为个体的活动使他人或社会受损，而造成负外部性的人却没有为此承担成本。...,外部性
支付清算系统（payment and clearing system），也称支付系统（payment system），是一个国家或地区对交易者之间的债权债务关系进行清偿的系统。具体来讲，它是由提供支付服务的中介机构、管理货币转移的规则、实现支付指令传递及资金清算的专业技术手段共同组成的，用以实现债权债务清偿及资金转移的一系列组织和安排。...,支付清算系统
资本项目可兑换亦称“资本可兑换”。一种货币不仅在国际收支经常性往来中可以自由兑换成其他货币，而且在资本项目上也可以自由兑换。这意味着一国取消对一切外汇收支的管制： 居民不仅可以通过经济账户交易，也可自由地通过资本账户交易获得; 所获外汇既可在外汇市场上出售，也可自行在国内或国外持有; 经常账户的资本账户项下交易所需的外汇可自由在外汇市场上购得; 国内外居民也可以将本币换成外币在国内外持有，满足资产需求。这也就是通常所说的充分自由兑换。目前世界上只有美国、德国等少数国家宣布其货币资本项目可兑换，但实际上仍时常对货币兑换进行干预。...,资本项目可兑换
本人词条编辑服务是百度百科为了提高人物词条信息准确性，方便本人便捷修改自己词条的错误而推出的免费服务。用户完成百度账号的身份认证后，即可1.签署承诺函，对发表的内容的真实性作出的保证和承诺，无需其他材料佐证，不适用于涉及成就、评价、学术代表作等风险较高的内容；2.对于不适用承诺函的内容，上传线下证明材料（身份证件、获奖证书、资质证书等）等作为词条内容参考资料，通过本人词条编辑服务提交的全部内容和证明材料（身份证、护照、户口本除外）将对网友公开展示。该服务仅限本人使用，一个人物义项仅可对应一个认证的百度账号，认证账号仅在编辑本人词条义项时拥有上传线下证明材料的权限，百科词条的编辑规则与编辑开放性不受该服务影响。如对本人编辑的版本和内容存在质疑，可在线上提交。注：该服务目前仅针对百度百科已成功收录的词条开放，支持继续完善丰富；暂未成功收录的词条，则需要首先创建词条；正处级及以上级别国家干部、医...,百度百科：本人词条编辑服务
金融指货币的发行、流通和回笼，贷款的发放和收回，存款的存入和提取，汇兑的往来等经济活动。金融（FINANCE）就是对现有资源进行重新整合之后，实现价值和利润的等效流通。（专业的说法是：实行从储蓄到投资的过程，狭义的可以理解为金融是动态的货币经济学。）金融是人们在不确定环境中进行资源跨期的最优配置决策的行为。...,金融
所谓信息对称，就是说，在市场条件下，要实现公平交易，交易双方掌握的信息必须对称。换句话说，倘若一方掌握的信息多，另一方掌握的信息少，二者不“对称”，你这交易就做不成；或者即使做成了，也很可能是不公平交易。...,信息对称
借记卡是指发卡银行向持卡人签发的，没有信用额度，持卡人先存款、后使用的银行卡。借记卡按功能不同分为转账卡、专用卡和储值卡。借记卡不能透支。转账卡具有转账、存取现金和消费功能。专用卡是在特定区域、专用用途(百货、餐饮、娱乐行业以外的用途) 使用的借记卡，具有转账、存取现金的功能。储值卡是银行根据持卡人要求将资金转至卡内储存，交易时直接从卡内扣款的预付钱包式借记卡。...,借记卡
交易额指定时期内的交易量或交易规模。...,交易额
银行存款是储存在银行的款项。它是货币资金的组成部分。根据我国现金管理制度的规定，每一企业都必须在中国人民银行或专业银行开立存款户，办理存款、取款和转账结算，企业的货币资金，除了在规定限额以内，可以保存少量的现金外，都必须存入银行，企业的银行存款主要包括：结算户存款、信用证存款、外埠存款等。银行存款的收支业务由出纳员负责办理。每笔银行存款收入和支出业务，都须根据经过审核无误的原始凭证编制记账凭证。...,银行存款
现代支付体系主要由支付工具、支付系统、支付服务组织和支付体系监督管理等要素组成。...,支付体系
 支票是出票人签发的，委托办理支票存款业务的银行或者其他金融机构在见票时无条件支付确定的金额给收款人或者持票人的票据。同样支票制度也适用汇票的有关规定，所以，我们只介绍针对支票不同于汇票的特殊规定。支票的特征表现在：其一，支票是委付证券，但支票的付款人比较特殊，必须是有支票存款业务资格的银行或非银行金融机构。其二，我国的支票只有即期支票，支票无承兑制度。...,支票
金融监管是政府通过特定的机构，如中央银行、证券交易委员会等对金融交易行为主体作的某种限制或规定。本质上是一种具有特定内涵和特征的政府规制行为。金融监管可以分成金融监督与金融管理。金融监督指金融主管当局对金融机构实施的全面性、经常性的检查和督促，并以此促进金融机构依法稳健地经营和发展。金融管理指金融主管当局依法对金融机构及其经营活动实施的领导、组织、协调和控制等一系列的活动。...,金融监管
绩效，从管理学的角度看，是组织期望的结果，是组织为实现其目标而展现在不同层面上的有效输出，它包括个人绩效和组织绩效两个方面。组织绩效实现应在个人绩效实现的基础上，但是个人绩效的实现并不一定保证组织是有绩效的。如果组织的绩效按一定的逻辑关系被层层分解到每一个工作岗位以及每一个人的时候，只要每一个人达成了组织的要求，组织的绩效就实现了。...,绩效
陈晓，1987年7月5日出生于安徽合肥，中国内地男演员，毕业于中央戏剧学院表演系本科班。1997年出演电视《我们班的歌》，饰演男一号孙东。 2010年参演徐克执导的电影《狄仁杰之通天帝国》。 2011年签约于正工作室。2013年凭借新版《笑傲江湖》林平之、《陆贞传奇》男一号高湛人气大增，荣获2013年度国剧盛典“极具青春号召力演员”奖，以及亚洲偶像盛典“最具潜力男演员奖”。2014年陈晓与陈妍希主演的古装武侠电视剧《神雕侠侣》播出，拿下全国同时段第一的收视率。2015年与杨颖、...,陈晓
张晓龙，1975年12月9日出生于吉林省辽源市，中国大陆男演员、礼仪指导、民族民间舞学士、中国古代史硕士，中央戏剧学院副教授，硕士生导师。1994年考进了北京舞蹈学院民间舞专业，2002年出演首部电视剧《情有千千劫》。2011年凭借古装剧《后宫甄嬛传》温实初一角成名，获得安徽卫视国剧盛典最具突破艺人奖。2012年-2015年期间分别主演《爱情面前谁怕谁》《十月围城》《陆小凤与花满楼》《我的情敌是超人》《妻子的谎言》《爱人的谎言》等电视剧及电影。...,张晓龙
筹资（raise cash）是通过一定渠道、采取适当方式筹措资金的财务活动，是财务管理的首要环节。筹资等同于资金筹集，是指企业通过各种方式和法定程序，从不同的资金渠道，筹措所需资金的全过程。无论其筹资的来源和方式如何，其取得途径不外乎两种：一种是接受投资者投入的资金，即企业的资本金；另一种是向债权人借入的资金，即企业的负债。...,筹资
资金融通是货币流通及与其相关的信用活动。资金融通包括货币流通，存款的吸收与提取，贷款的发放与收回、资金的相互拆借，金银、外汇和有价证券的买卖，保险、信托、国内外汇兑的往来等。资金融通按其有无媒介可分为直接融资和间接融资。直接融资是指融出资金单位与融入资金单位之间的货币资金的转移不通过各种金融媒介体来进行，而是由融资双方直接协商确定。间接融资是指融出资金单位与融入资金单位之间的货币资金的转移需要通过某种金融媒介体来进行。...,资金融通
秦岚（Qin Lan），1981年7月17日出生于辽宁省沈阳市，毕业于沈阳工业大学会计系，中国内地女演员、歌手。2001年，秦岚因出演个人首部电视剧《大唐情史》正式进入演艺圈。2002年，因在古装爱情剧《还珠格格3》中饰演陈知画而崭露头角；2003年，出演古装武侠剧《风云2》。2004年，主演古装爱情剧《护花奇缘》。2006年，出演古装励志剧《绣娘兰馨》。2007年，因在青春爱情剧《又见一帘幽梦》中饰演汪绿萍而获得更多关注。2009年，出演剧情片《南京！南京！》。2011年，凭借家庭伦理片《母语》荣获第三届英国万像国际华语电影节“最具潜力女演员奖”。2012年，凭借古装传奇片《王的盛宴》荣获第七届亚洲电影节“最佳女配角”。同年，在古装传奇剧《...,秦岚
企业组织形式是指企业存在的形态和类型，主要有独资企业、合伙企业和公司制企业三种形式。无论企业采用何种组织形式，都应具有两种基本的经济权利，即所有权和经营权，它们是企业从事经济运作和财务运作的基础。企业采用何种组织形式，对企业理财工作有重大的影响。指企业财产及其社会化大生产的组织状态，它表明一个企业的财产构成、内部分工协作与外部社会经济联系的方式。...,企业组织形式
信贷是指以偿还和付息为条件的价值运动形式。通常包括银行存款、贷款等信用活动，狭义上仅指银行贷款，广义上同“信用”通用。信贷是社会主义国家用有偿方式动员和分配资金的重要形式，是发展经济的有力杠杆。...,信贷
募集资金是指上市公司公开发行证券（包括首次公开发行股票、配股、增发、发行可转换公司债券、发行分离交易的可转换公司债券等）以及非公开发行证券向投资者募集的资金，但不包括上市公司股权激励计划募集的资金。...,募集资金
有形网络，是关于互联网本质的一种价值认同--既公众认为互联网是非虚拟的，有规律可循的，以及可管理的。互联网早期发展阶段，人们更容易接受“无形网络”的观念，既认为技术已经创造了一个自由的环境，因而网络空间无法被规制，也就是说网络的特性使它摆脱了政府（以及其他任何组织或个人）的控制。换言之，互联网的核心本质是：自由。...,有形网络
信息，指音讯、消息、通讯系统传输和处理的对象，泛指人类社会传播的一切内容。人通过获得、识别自然界和社会的不同信息来区别不同事物，得以认识和改造世界。在一切通讯和控制系统中，信息是一种普遍联系的形式。1948年，数学家香农在题为“通讯的数学理论”的论文中指出：“信息是用来消除随机不定性的东西”。创建一切宇宙万物的最基本万能单位是信息。...,信息
中国保险监督管理委员会（简称中国保监会）成立于1998年11月18日，是国务院直属事业单位。根据国务院授权履行行政管理职能，依照法律、法规统一监督管理全国保险市场，维护保险业的合法、稳健运行。2003年，国务院决定，将中国保监会由国务院直属副部级事业单位改为国务院直属正部级事业单位，并相应增加职能部门、派出机构和人员编制。中国保险监督管理委员会内设16个职能机构和2个事业单位，并在全国各省、自治区、直辖市、计划单列市设有36个保监局，在苏州、烟台、汕头、温州、唐山市设有5个保监分局。2018年3月，根据第十三届全国人民代表大会第一次会议批准的国务院机构改革方案，将中国保险监督管理委员会的职责整合，组建中国银行保险监督管理委员会；将中国保险监督管理委员会审慎监管基本制度的职责划入中国人民银行；不再保留中国保险监督管理委员会。...,中国保险监督管理委员会
